City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
312,bako,ET,63.66,5.7833,36.5667,light rain,Goh Hotel
316,pauini,BR,72.23,-7.7136,-66.9764,scattered clouds,Casa do Kiwliks
318,port blair,IN,78.44,11.6667,92.75,light rain,Welcomhotel Bay Island Port Blair
320,cabrera,DO,75.52,19.6426,-69.9049,clear sky,Terramar Hotel
323,araouane,ML,79.02,18.9048,-3.5265,overcast clouds,
324,savannah bight,HN,79.0,16.45,-85.85,clear sky,Villa on Dunbar Rock
325,namibe,AO,76.15,-15.1961,12.1522,few clouds,Hotel Chik Chik Namibe
326,tonantins,BR,73.11,-2.8731,-67.8022,overcast clouds,Hotel Rei Davi
330,mahebourg,MU,75.2,-20.4081,57.7,light rain,Shandrani Beachcomber Resort & Spa
332,taoudenni,ML,80.82,22.6783,-3.9836,scattered clouds,
333,kidal,ML,73.81,18.4411,1.4078,clear sky,
337,bac lieu,VN,89.91,9.285,105.7244,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
338,manokwari,ID,83.05,-0.8667,134.0833,overcast clouds,Swiss Belhotel Manokwari
340,tessalit,ML,74.48,20.1986,1.0114,clear sky,
343,guerrero negro,MX,60.28,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
344,anori,BR,73.31,-3.7728,-61.6442,light rain,Novo Hotel 05 Irmaos
345,martapura,ID,80.6,-3.4167,114.85,scattered clouds,Montana Hotel Syariah
346,pontianak,ID,86.0,-0.0333,109.3333,few clouds,Aston Pontianak Hotel & Convention Center
348,cap malheureux,MU,75.99,-19.9842,57.6142,light rain,Pereybere Hotel & Spa
351,ontario,US,80.6,34.0633,-117.6509,broken clouds,American Inn
359,beira,MZ,71.6,-19.8436,34.8389,few clouds,Beira Terrace Hotel
360,anloga,GH,82.4,5.7947,0.8973,few clouds,Pin Drop Hotel
361,harper,LR,78.13,4.375,-7.7169,broken clouds,Screensaver
362,meulaboh,ID,81.07,4.1363,96.1285,overcast clouds,Kost Pria
365,nalut,LY,60.06,30.3333,10.85,clear sky,
367,byron bay,AU,77.0,-28.65,153.6167,overcast clouds,Backpackers Inn on the Beach
368,nkhata bay,MW,70.27,-11.6066,34.2907,scattered clouds,Mayoka Village
369,samdrup jongkhar,BT,73.38,26.9167,91.6167,clear sky,
370,port lincoln,AU,81.75,-34.7333,135.8667,clear sky,Port Lincoln Hotel
372,biak,ID,84.06,-0.9131,122.8766,overcast clouds,Penginapan Kim
374,rawson,AR,61.16,-43.3002,-65.1023,clear sky,Hosteria Sampedro
376,nantong,CN,61.0,32.0303,120.8747,overcast clouds,Overseas Chinese Hotel Nantong
378,bonwapitse,BW,66.61,-23.0766,26.7037,overcast clouds,
381,hue,VN,77.0,16.4667,107.6,broken clouds,Saigon Morin Hotel
382,bethlehem,BR,75.2,-1.4558,-48.5044,light rain,Mercure Belém Boulevard Hotel
383,hambantota,LK,78.8,6.1241,81.1185,scattered clouds,Bungalow 63
384,maraba,BR,73.02,-5.3686,-49.1178,moderate rain,Hotel Del Principe
