City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
109,dalby,-27.1833,151.2667,73.4,broken clouds,0.0,0.0,46,75,20.71,AU
110,dikson,73.5069,80.5464,-5.46,overcast clouds,0.0,0.0,76,100,8.5,RU
111,ahipara,-35.1667,173.1667,68.2,clear sky,0.0,0.0,63,1,13.89,NZ
112,zunyi,27.6867,106.9072,57.7,overcast clouds,0.0,0.0,87,100,5.73,CN
113,burnie,-41.0667,145.9167,67.17,overcast clouds,0.0,0.0,74,99,5.84,AU
114,tynda,55.1667,124.7167,25.54,light snow,0.0,0.21,81,100,10.18,RU
115,angoche,-16.2325,39.9086,75.92,broken clouds,0.0,0.0,76,63,5.35,MZ
116,borogontsy,62.6683,131.1683,29.8,overcast clouds,0.0,0.0,87,100,8.7,RU
117,bluff,-46.6,168.3333,55.99,few clouds,0.0,0.0,64,13,18.01,NZ
118,faya,18.3851,42.4509,59.0,clear sky,0.0,0.0,44,0,2.17,SA
119,moree,-29.4667,149.85,80.6,clear sky,0.0,0.0,44,0,10.36,AU
120,cidreira,-30.1811,-50.2056,69.78,scattered clouds,0.0,0.0,61,37,10.13,BR
121,iguape,-24.7081,-47.5553,70.41,scattered clouds,0.0,0.0,80,27,5.75,BR
122,buala,-8.145,159.5921,85.53,few clouds,0.0,0.0,67,12,4.18,SB
123,porto novo,6.4965,2.6036,84.2,scattered clouds,0.0,0.0,84,40,11.5,BJ
124,bengkulu,-3.8004,102.2655,83.26,moderate rain,1.153,0.0,69,93,13.18,ID
125,huilong,31.8111,121.655,64.99,overcast clouds,0.0,0.0,94,100,2.39,CN
126,oranjemund,-28.55,16.4333,58.93,clear sky,0.0,0.0,91,1,10.47,NA
127,luanda,-8.8368,13.2343,78.8,broken clouds,0.0,0.0,89,75,4.61,AO
128,portland,45.5234,-122.6762,60.8,clear sky,0.0,0.0,41,1,9.22,US
129,tarrafal,15.2833,-23.7667,69.8,clear sky,0.0,0.0,73,0,12.66,CV
